GEOMETRY_ID;Type d'établissement;LIBELLE;ADRESSE;ARR_LIBELLE;ARR_INSEE;geo_shape;geo_point_2d
2042;1810;PIHET (1) ELEM;1 rue PIHET;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.373881979987803, 48.86345480386404]}";48.8634548039, 2.37388197999
2055;1810;FOYATIER (1) ELEM;1 place SUZANNE VALADON;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.342390890176531, 48.88466921009887]}";48.8846692101, 2.34239089018
2058;1810;HERMEL (20) ELEM;20 rue HERMEL;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.344513080970285, 48.89130095480168]}";48.8913009548, 2.34451308097
2076;1810;OLIVIER METRA (22) ELEM B;22 rue OLIVIER METRA;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.394340267568528, 48.872892602874025]}";48.8728926029, 2.39434026757
2077;1810;ARGENTEUIL (11) ELEM;11 RUE D' ARGENTEUIL;1er Ardt;75101;"{""type"": ""Point"", ""coordinates"": [2.333823253300664, 48.864885761447475]}";48.8648857614, 2.3338232533
2078;1810;ALQUIER DEBROUSSE (12) POLY;12 allée ALQUIER-DEBROUSSE;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.408376311692706, 48.861265699079695]}";48.8612656991, 2.40837631169
2083;1810;BRECHE AUX LOUPS (18) ELEM;18 RUE DE LA BRECHE AUX LOUPS;12ème Ardt;75112;"{""type"": ""Point"", ""coordinates"": [2.394091326617443, 48.837463163017325]}";48.837463163, 2.39409132662
2092;1810;FONDARY (12) ELEM;12 rue FONDARY;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.29224817323939, 48.84840560756566]}";48.8484056076, 2.29224817324
2095;1810;ST LAMBERT (12) ELEM B;12 rue SAINT-LAMBERT;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.29095308269562, 48.838088828936705]}";48.8380888289, 2.2909530827
2100;1810;PONTOISE (21) ELEM;21 RUE DE PONTOISE;5ème Ardt;75105;"{""type"": ""Point"", ""coordinates"": [2.351264111587047, 48.8487498644848]}";48.8487498645, 2.35126411159
2105;1810;ANTOINE CHANTIN (20) ELEM;20 rue ANTOINE CHANTIN;14ème Ardt;75114;"{""type"": ""Point"", ""coordinates"": [2.322656544918182, 48.827252933446616]}";48.8272529334, 2.32265654492
2112;1810;DAMREMONT (65) ELEM B;65 rue DAMREMONT;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.33505890395399, 48.89195637174008]}";48.8919563717, 2.33505890395
2115;1810;HOPITAL ST LOUIS(5) ELEM;5 RUE DE L' HOPITAL SAINT-LOUIS;10ème Ardt;75110;"{""type"": ""Point"", ""coordinates"": [2.365421164139582, 48.874881508074836]}";48.8748815081, 2.36542116414
2123;1810;CHAT.RENTIERS (40) ELEM;40 RUE DU CHATEAU DES RENTIERS;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.369983169247327, 48.824957435279664]}";48.8249574353, 2.36998316925
2126;1810;CHARDON LAGACHE (64) MAT;64 rue CHARDON-LAGACHE;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.264222282900329, 48.84236113180386]}";48.8423611318, 2.2642222829
2131;1810;MURAT (162) ELEM;162 boulevard MURAT;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.265105062057403, 48.838953775940865]}";48.8389537759, 2.26510506206
2142;1810;CAMBON (28) POLY;28 rue CAMBON;1er Ardt;75101;"{""type"": ""Point"", ""coordinates"": [2.326856188899248, 48.868112427924615]}";48.8681124279, 2.3268561889
2144;1810;PEREIRE (221) ELEM;221 boulevard PEREIRE;17ème Ardt;75117;"{""type"": ""Point"", ""coordinates"": [2.289289688986715, 48.88056489358376]}";48.8805648936, 2.28928968899
2156;1810;POUCHET (42) ELEM;42 rue POUCHET;17ème Ardt;75117;"{""type"": ""Point"", ""coordinates"": [2.32040723780215, 48.893826591339234]}";48.8938265913, 2.3204072378
2162;1810;BOILEAU (17-23) ELEM;17 rue BOILEAU;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.2652642274467683, 48.846344348251584]}";48.8463443483, 2.26526422745
2163;1810;PRISSE D'AVENNES (5) ELEM;5 rue PRISSE D'AVENNES;14ème Ardt;75114;"{""type"": ""Point"", ""coordinates"": [2.328290185843789, 48.825118860960636]}";48.825118861, 2.32829018584
2164;1810;COLONEL MOLL (16) ELEM;16 RUE DU COLONEL MOLL;17ème Ardt;75117;"{""type"": ""Point"", ""coordinates"": [2.2901010613455233, 48.87801285856178]}";48.8780128586, 2.29010106135
